Country,Country:de,Country:es,Country:fr,Country:nb,Capital,Capital:de,Capital:es,Capital:fr,Capital:nb
Puerto Rico,Puerto Rico,Puerto Rico,Porto Rico,Puerto Rico,"[[San Juan, Puerto Rico|San Juan]]",San Juan,San Juan,San Juan,San Juan
Cuba,Kuba,Cuba,Cuba,Cuba,[[Havana]],Havanna,La Habana,La Havane,Havanna
Dominican Republic,Dominikanische Republik,República Dominicana,République dominicaine,Den dominikanske republikk,[[Santo Domingo]],Santo Domingo,Santo Domingo,Saint-Domingue (ville),Santo Domingo
Haiti,Haiti,Haití,Haïti,Haiti,[[Port-au-Prince]],Port-au-Prince,Puerto Príncipe,Port-au-Prince,Port-au-Prince
Jamaica,Jamaika,Jamaica,Jamaïque,Jamaica,"[[Kingston, Jamaica|Kingston]]",Kingston,Kingston (desambiguación),Kingston,Kingston (andre betydninger)
Trinidad and Tobago,Trinidad und Tobago,Trinidad y Tobago,Trinité-et-Tobago,Trinidad og Tobago,[[Port of Spain]],Port of Spain,Puerto España,Port-d'Espagne,Port of Spain
Bermuda,Bermuda,Bermudas,Bermudes,Bermuda,"[[Hamilton, Bermuda|Hamilton]]",Hamilton,Hamilton,Hamilton,Hamilton
Guadeloupe,Guadeloupe,Guadalupe (Francia),Guadeloupe,Guadeloupe,,Basse-Terre (Gemeinde),Basse-Terre,Basse-Terre,Basse-Terre
The Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,"[[Nassau, Bahamas|Nassau]]",Nassau,Nassau (desambiguación),Nassau,Nassau
Barbados,Barbados,Barbados,Barbade,Barbados,[[Bridgetown]],Bridgetown,Bridgetown,Bridgetown,Bridgetown
Belize,Belize,Belice,Belize,Belize,[[Belmopan]],Belmopan,Belmopán,Belmopan,Belmopan
Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,"[[San José, Costa Rica|San José]]",San José,San José,San José,San José (andre betydninger)
El Salvador,El Salvador,El Salvador,Salvador,El Salvador,[[San Salvador]],San Salvador,San Salvador,San Salvador (Salvador),San Salvador
Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,[[Guatemala City]],Guatemala-Stadt,Ciudad de Guatemala,Guatemala (ville),Guatemala by
Honduras,Honduras,Honduras,Honduras,Honduras,[[Tegucigalpa]],Tegucigalpa,Tegucigalpa,Tegucigalpa,Tegucigalpa
Nicaragua,Nicaragua,Nicaragua,Nicaragua,Nicaragua,[[Managua]],Managua,Managua,Managua,Managua
Panama,Panama,Panamá,Panama,Panama,[[Panama City]],Panama-Stadt,Panamá (ciudad),Panama (ville),Panama by
Antigua and Barbuda,Antigua und Barbuda,Antigua y Barbuda,Antigua-et-Barbuda,Antigua og Barbuda,"[[St. John's, Antigua and Barbuda|St. John's]]",,,,
Dominica,Dominica,Dominica,Dominique (pays),Dominica,[[Roseau]],Roseau,Roseau,Roseau (ville de la Dominique),Roseau
Saint Vincent and the Grenadines,St. Vincent und die Grenadinen,San Vicente y las Granadinas,Saint-Vincent-et-les-Grenadines,Saint Vincent og Grenadinene,[[Kingstown]],Kingstown,Kingstown,Kingstown,Kingstown
Somalia,Somalia,Somalia,Somalie,Somalia,[[Mogadishu]],Mogadischu,Mogadiscio,Mogadiscio,Mogadishu
Zanzibar,Sansibar,Zanzíbar,,Zanzibar,[[Zanzibar City]],Sansibar-Stadt,Zanzíbar (ciudad),Zanzibar (ville),Zanzibar (by)
Ghana,Ghana,Ghana,Ghana,Ghana,[[Accra]],Accra,Acra,Accra,Accra
Guinea,Guinea,Guinea,Guinée,Guinea,[[Conakry]],Conakry,Conakri,Conakry,Conakry
New Zealand,Neuseeland,Nueva Zelanda,Nouvelle-Zélande,New Zealand,[[Wellington]],Wellington,Wellington,Wellington,Wellington
French Polynesia,Französisch-Polynesien,Polinesia Francesa,Polynésie française,Fransk Polynesia,[[Papeete]],Papeete,Papeete,Papeete,Papeete
Philippines,Philippinen,Filipinas,Philippines,Filippinene,[[Manila]] {{ref|a|a}} <br /> {{small|Coord|14|35|N|120|58|E|type:city}} {{Coord|14|35|N|120|58|E|type:city}},Manila,Manila,Manille,Manila
Galápagos Islands,Galapagosinseln,Islas Galápagos,Îles Galápagos,Galápagosøyene,,Puerto Baquerizo Moreno,Puerto Baquerizo Moreno,Puerto Baquerizo Moreno,Puerto Baquerizo Moreno
Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,{{nowrap|[[Pristina]]}} <sup>a</sup>,Pristina,Pristina,Pristina,Priština
Libya,Libyen,Libia,Libye,Libya,[[Tripoli]],Tripolis,Trípoli,Tripoli (ville de Libye),Tripoli
Palau,Palau,Palaos,Palaos,Palau,[[Ngerulmud]],Ngerulmud,Ngerulmud,Ngerulmud,
Saint Lucia,St. Lucia,Santa Lucía,Sainte-Lucie,Saint Lucia,[[Castries]],Castries,Castries,Castries (Sainte-Lucie),Castries
Bali,Bali,Provincia de Bali,Bali (province),,,Denpasar,Denpasar,Denpasar,Denpasar
Grenada,Grenada,Granada (país),Grenade (pays),Grenada,"[[St. George's, Grenada|St. George's]]",,,,
Bonaire,Bonaire,Bonaire,Bonaire,Bonaire,,Kralendijk,Kralendijk,Kralendijk,Kralendijk
British Virgin Islands,Britische Jungferninseln,Islas Vírgenes Británicas,Îles Vierges britanniques,De britiske Jomfruøyer,[[Road Town]],Road Town,Road Town,Road Town,Road Town
Turks and Caicos Islands,Turks- und Caicosinseln,Islas Turcas y Caicos,Îles Turques-et-Caïques,Turks- og Caicosøyene,[[Cockburn Town]],Cockburn Town,Cockburn Town,Cockburn Town,Cockburn Town
Cayman Islands,Cayman Islands,Islas Caimán,Îles Caïmans,Caymanøyene,"[[George Town, Cayman Islands|George Town]]",,,,
Anguilla,Anguilla,Anguila (dependencia),Anguilla,Anguilla,"[[The Valley, Anguilla|The Valley]]",The Valley,The Valley,The Valley,
Azores,Azoren,Azores,Açores,Azorene,"{{unbulleted list |[[Ponta Delgada]]<br>|small|(executive)| |[[Angra do Heroísmo]]<br>|small|(judicial)| |[[Horta, Azores|Horta]]<br>|small|(legislative)}} {{small|(executive)}} {{small|(judicial)}} {{small|(legislative)}}",Ponta Delgada,Ponta Delgada,Ponta Delgada,Ponta Delgada
Ceuta,Ceuta,Ceuta,Ceuta,Ceuta,,,,,
Christmas Island,Weihnachtsinsel (Australien),Isla de Navidad,Île Christmas (Australie),Christmasøya,"[[Flying Fish Cove]]<br /> {{small|(""The Settlement"")}}",Flying Fish Cove,Flying Fish Cove,Flying Fish Cove,Flying Fish Cove
Curaçao,Curaçao,Curazao,Curaçao,Curaçao,[[Willemstad]],Willemstad,Willemstad,Willemstad (Curaçao),Willemstad
Easter Island,Osterinsel,Isla de Pascua,Île de Pâques,Påskeøya,,,,,
French Guiana,Französisch-Guayana,Guayana Francesa,Guyane,Fransk Guyana,,Cayenne,Cayena,Cayenne,Cayenne
Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar
Guernsey,,,Guernesey,,[[Saint Peter Port]],,,,
Isle of Man,Isle of Man,Isla de Man,Île de Man,Man,"[[Douglas, Isle of Man|Douglas]]",Douglas,Douglas,Douglas,Douglas
Jersey,Jersey,Jersey,Bailliage de Jersey,Jersey,[[Saint Helier]],Saint Helier,Saint Helier,Saint-Hélier,Saint Helier
Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,[[Tarawa]],Tarawa,Tarawa,Tarawa,Tarawa
Macau,Macau,Macao,Macao,Macao,,,,,
Madeira,Autonome Region Madeira,Madeira,Madère,Madeira,[[Funchal]],Funchal,Funchal,Funchal,Funchal
Marshall Islands,Marshallinseln,Islas Marshall,Îles Marshall,Marshalløyene,[[Majuro]],Majuro-Atoll,Majuro,Majuro,Majuro
Melilla,Melilla,Melilla,Melilla,Melilla,,,,,
Montserrat,Montserrat,Montserrat,Montserrat (Antilles),Montserrat,"{{nowrap|[[Plymouth, Montserrat|Plymouth]] |small|(''[[de jure]]'')|efn|name|=|Plymouth|[[Ghost town|Abandoned]] in 1997, following a volcanic eruption, although it is still the ''de jure'' capital.}} <br />[[Brades]] {{small|(''[[de jure]]'')}} {{efn|name|=|Plymouth|[[Ghost town|Abandoned]] in 1997, following a volcanic eruption, although it is still the ''de jure'' capital.}} {{small|(''[[de facto]]'')}} {{efn|name|=|Brades|Government buildings are now located in Brades, making it the ''de facto'' capital.}} <br />[[Little Bay, Montserrat|Little Bay]] {{small|(''under construction'')}} {{efn|name|=|LittleBay|New seaport and town, intended to be the future capital.}}",Brades,Brades,Brades,Brades
Nauru,Nauru,Nauru,Nauru,Nauru,"[[Yaren_District|Yaren]] {{small|(''[[de facto]]'')}} {{efn|Nauru does not have an official capital, but Yaren is the largest settlement and the seat of parliament.}}",Yaren,Yaren,,
New Caledonia,Neukaledonien,Nueva Caledonia,Nouvelle-Calédonie,Ny-Caledonia,[[Nouméa]],Nouméa,Numea,Nouméa,Nouméa
Niue,Niue,Niue,Niue,Niue,[[Alofi]],Alofi (Niue),Alofi (Niue),Alofi (Niue),Alofi
Norfolk Island,Norfolkinsel,Isla Norfolk,Île Norfolk,Norfolkøya,"[[Kingston, Norfolk Island|Kingston]]",Kingston,Kingston (desambiguación),Kingston,Kingston (andre betydninger)
Northern Cyprus,Türkische Republik Nordzypern,República Turca del Norte de Chipre,Chypre du Nord,Nord-Kypros,[[North Nicosia]] ( {{small|''[[de facto]]''}} )<br>[[Nicosia]] ( {{small|''[[de jure]]''}} ),Nord-Nikosia,Nicosia del Norte,Nicosie-Nord,
Saba,Saba (Insel),Isla de Saba,Saba,Saba (øy),,The Bottom,The Bottom,The Bottom,The Bottom
Saint Kitts and Nevis,St. Kitts und Nevis,San Cristóbal y Nieves,Saint-Christophe-et-Niévès,Saint Kitts og Nevis,"[[Basseterre]] (St. Kitts), [[Charlestown, Nevis|Charlestown]] (Nevis)",Basseterre,Basseterre,Basseterre,Basseterre
Samoa,Samoa,Samoa,Samoa,Samoa,[[Apia]],Apia,Apia,Apia,Apia
Somaliland,Somaliland,Somalilandia,Somaliland,Somaliland,[[Hargeisa]],Hargeysa,Hargeisa,Hargeisa,Hargeisa
South Sudan,Südsudan,Sudán del Sur,Soudan du Sud,Sør-Sudan,[[Juba]],Juba,Yuba (Sudán del Sur),Djouba,Juba
Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,[[Funafuti]],Funafuti,Funafuti,Funafuti,Funafuti
United States Virgin Islands,Amerikanische Jungferninseln,Islas Vírgenes de los Estados Unidos,Îles Vierges des États-Unis,De amerikanske Jomfruøyer,"[[Charlotte Amalie, U.S. Virgin Islands|Charlotte Amalie]]",Charlotte Amalie,,,Charlotte Amalie
Pitcairn Islands,Pitcairninseln,Islas Pitcairn,Îles Pitcairn,Pitcairnøyene,"[[Adamstown, Pitcairn Islands|Adamstown]]",Adamstown,Adamstown,,
Åland Islands,Åland,Åland,Åland,Åland,[[Mariehamn]],Mariehamn,Mariehamn,Mariehamn,Mariehamn
Cocos (Keeling) Islands,Kokosinseln,Islas Cocos,Îles Cocos,Kokosøyene,"[[West Island, Cocos (Keeling) Islands|West Island]]",West Island (Montreal),,Ouest-de-l'Île,
Saint Helena,St. Helena (Insel),Isla Santa Elena,Sainte-Hélène (île),St. Helena,"[[Jamestown, Saint Helena|Jamestown]]",Jamestown,Jamestown,Jamestown,
Sint Eustatius,Sint Eustatius,San Eustaquio,Saint-Eustache (Antilles),Sint Eustatius,,Oranjestad,Oranjestad,Oranjestad,Oranjestad
South Ossetia,Südossetien,Osetia del Sur,Ossétie du Sud-Alanie,Sør-Ossetia,[[Tskhinvali]],Zchinwali,Tsjinvali,Tskhinvali,Tskhinvali
Tokelau,Tokelau,Tokelau,Tokelau,Tokelau,,,,,
